Index	Sample Name	Sample Type	Component Name	Component Type	Component Group Name	Actual Concentration	Expected RT	Area	Retention Time	Retention Time Delta (min)	Signal / Noise	Used	Calculated Concentration	Accuracy	Precursor Mass	Accuracy Acceptance	Concentration Acceptance	Reportable
1	Nivel-100pgmL	Standard	3 HYDROXY CARBOFURAN-1	Quantifiers	3 HYDROXY CARBOFURAN	250	3.34	88378.8101596061	3.32295960453873	0.0170403954612652	37.8422064489962	True	degenerate	N/A	220	Fail	Pass	True
2	Nivel-100pgmL	Standard	3 HYDROXY CARBOFURAN-2	Qualifiers	3 HYDROXY CARBOFURAN	0	3.34	58281.2589259849	3.32128486659158	0.0187151334084215	43.7164668274493	True	degenerate	N/A	238.1	Fail	Pass	True
3	Nivel-100pgmL	Standard	ABAMECTIN B1a-1	Quantifiers	ABAMECTIN B1a	0	11.81	867.889640400452	11.9546321945778	0.14463219457784	16.647239871854	True	degenerate	N/A	890.5	Fail	Pass	True
4	Nivel-100pgmL	Standard	ABAMECTIN B1a-2	Qualifiers	ABAMECTIN B1a	0	11.81	737.273092783087	11.944080859123	0.134080859123038	24.410862685439	True	degenerate	N/A	890.5	Fail	Pass	True
5	Nivel-100pgmL	Standard	ACEPHATE-1	Quantifiers	ACEPHATE	0	2.02	133667.32247163	2.01085914235852	0.00914085764148265	290.512910957398	True	degenerate	N/A	184	Fail	Pass	True
6	Nivel-100pgmL	Standard	ACEPHATE-4	Qualifiers	ACEPHATE	0	2.02	30943.6863504515	2.02470559603394	0.00470559603393772	97.4174426400754	True	degenerate	N/A	184	Fail	Pass	True
7	Nivel-100pgmL	Standard	ACEQUINOCYL-1	Quantifiers	ACEQUINOCYL	0	12.91	3197.370364182	12.8892891009384	0.020710899061573	78.9512480197707	True	degenerate	N/A	402.4	Fail	Pass	True
8	Nivel-100pgmL	Standard	ACEQUINOCYL-2	Qualifiers	ACEQUINOCYL	0	12.9	13692.0095052267	12.8827957560798	0.0172042439202027	223.984849965887	True	degenerate	N/A	402.4	Fail	Pass	True
9	Nivel-100pgmL	Standard	ACETAMIPRID-1	Quantifiers	ACETAMIPRID	0	3.36	264706.654507181	3.33958536068697	0.0204146393130307	742.264253123093	True	degenerate	N/A	223.1	Fail	Pass	True
10	Nivel-100pgmL	Standard	ACETAMIPRID-3	Qualifiers	ACETAMIPRID	0	3.35	8488.37246197578	3.33641382961922	0.0135861703807807	58.1194690883283	True	degenerate	N/A	223.1	Fail	Pass	True
11	Nivel-100pgmL	Standard	ACRINATHRIN-1	Quantifiers	ACRINATHRIN	0	11.71	592738.760866326	11.3255622459055	0.384437754094543	846.649266004602	True	degenerate	N/A	559.1	Fail	Pass	True
12	Nivel-100pgmL	Standard	ACRINATHRIN-2	Qualifiers	ACRINATHRIN	0	11.71	686.753647802372	11.2700009023832	0.43999909761685	20.5431763045265	True	degenerate	N/A	559.1	Fail	Pass	True
